Spices: Supply and disappearance,,,,,,,,,,,,,,,Filename: CTCSP,,Spices:  Supply and disappearance,,,,,,,,Filename: CTCSP,,Spices: Supply and disappearance,,,,,,,,Filename: CTCSP,
Year,"U.S. population, July 11",Production,,,,,Supply,,,,,,,,,,Supply--continued,,,,,,,,,,Supply--continued,,,,,Disappearance,,,,
,,,Dried chili peppers,,,,Imports4,,,,,,,,,,Imports--continued4,,,,,,,,,,Imports--continued4,,,,,,Exports,Net,Food disappearance,
,,Mustard,California,New Mexico,Total3,Total,Anise seed,Caraway seed,Fennel seed,"Anise seed, caraway seed, and fennel seed",Dried,Cassia5,Celery seed,Cinnamon,Cloves6,Coriander seed,Cumin seed,Ginger root,Mace,Mustard seed,Nutmeg,Paprika,"Pepper,",Pimento (allspice),Poppy seed,Sage,Sesame seed,Turmeric,Vanilla beans,Other spices8,Total imports,Total,,shipments,,
,,seed2,,,,production,,,,,capsicum,,,,,,,,,,,,black and,,,,,,,,,supply,,to ,Total,Per capita availability
,,,,,,,,,,,peppers,,,,,,,,,,,,white,,,,,,,,,,,Puerto Rico,,
,-- Millions --,"-------------------------------------------------------------------------------------------------------------------------- 1,000 pounds ------------------------------------------------------------------------------------------------------------------------------------------",,,,,,,,,,,,,,,"------------------------------------------------------------------------------------- 1,000 pounds --------------------------------------------------------------------------------------",,,,,,,,,,"----------------------------------------------------------------- 1,000 pounds --------------------------------------------------------------------",,,,,,,,,-- Pounds --
1994,263.436,"12,998.0","44,582.0","72,100.0","116,682.0","129,680.0","2,843.7","8,356.0","6,197.2",,"49,275.3","35,113.5","5,962.0",7/    ,"2,906.8","5,287.1","15,043.9","32,603.1",340.8,"168,765.9","5,178.1","9,909.0","109,433.8","2,227.5","12,386.4","4,232.9","89,321.4","3,814.9","2,744.2","74,792.1","646,735.5","776,415.5","89,203.1","2,173.4","685,039.1",2.6
1995,266.557,"18,304.0","51,020.0","59,650.0","110,670.0","128,974.0","2,863.3","7,329.6","7,039.8",,"48,298.0","34,412.7","3,931.7",7/    ,"3,293.6","5,519.5","9,618.0","34,254.4",316.8,"155,102.8","4,305.6","13,497.8","90,169.3","2,017.9","13,496.4","5,297.6","86,763.4","4,481.4","3,263.9","122,382.3","657,655.9","786,629.9","102,848.7","2,134.4","681,646.7",2.6
1996,269.667,"14,601.0","55,486.0","69,820.0","125,306.0","139,907.0","2,971.2","9,271.8","6,285.4",,"68,160.7","37,695.3","4,453.3",7/    ,"2,113.1","6,294.1","14,827.9","31,587.3",267.3,"184,694.3","3,638.0","18,679.5","106,891.8","2,706.5","13,762.4","4,552.4","102,652.2","4,796.8","3,359.8","108,111.5","737,772.6","877,679.6","113,397.9","-3,326.8","767,608.5",2.8
1997,272.912,"59,273.0","119,054.2","70,796.3","189,850.4","249,123.4","2,670.6","6,921.2","7,535.9",,"64,539.8","38,569.0","4,611.3",7/    ,"3,154.3","6,835.9","14,459.4","30,503.0",321.8,"162,232.9","4,241.5","15,575.2","114,731.1","2,337.8","11,547.0","4,426.5","93,981.0","4,504.7","4,845.5","104,922.8","703,468.2","952,591.7","130,392.9","1,096.9","821,101.9",3.0
1998,276.115,"81,750.0","100,962.3","69,438.8","170,401.1","252,151.1","3,193.6","7,138.6","8,272.2",,"88,517.6","42,895.8","4,122.5",7/    ,"2,553.8","7,205.9","15,755.0","30,943.7",438.5,"155,002.4","3,309.6","27,805.5","95,467.1","3,280.2","12,929.8","5,283.5","104,580.1","5,035.5","4,275.7","161,869.1","789,875.6","1,042,026.7","138,150.3","35,238.5","868,637.9",3.1
1999,279.295,"48,010.0","35,632.0","40,721.3","76,353.3","124,363.3","3,028.6","7,506.9","7,656.0",,"105,797.4","38,724.8","4,184.6",7/    ,"2,991.2","7,914.3","15,741.0","34,347.6",511.1,"140,057.3","3,850.6","17,117.7","124,510.8","3,083.0","13,650.6","5,497.4","93,065.2","5,823.8","3,000.9","157,518.1","795,578.8","919,942.0","159,628.1",410.9,"759,903.0",2.7
2000,282.385,"36,930.0","32,452.0","66,750.0","99,202.0","136,132.0","3,314.6","7,330.3","7,192.9",,"106,716.7","37,331.1","3,203.0",7/    ,"2,413.6","8,997.4","17,238.7","42,010.3",484.6,"151,862.0","4,263.0","19,220.1","118,773.2","3,455.7","11,685.0","5,451.9","108,117.9","5,349.6","2,876.4","147,719.1","815,007.1","951,139.1","169,433.4","19,086.2","762,619.5",2.7
2001,285.309,"41,106.0","36,220.0","62,250.0","98,470.0","139,576.0","3,972.1","7,194.1","8,324.9",,"122,552.3","35,803.4","3,689.6",7/    ,"2,633.1","9,956.0","15,990.6","42,054.9",268.3,"157,105.0","3,433.3","20,938.8","127,288.3","2,968.2","10,455.1","5,446.9","108,184.4","5,300.2","3,240.5","166,422.1","863,222.0","1,002,798.0","189,286.0","-3,278.1","816,790.1",2.9
2002,288.105,"123,450.0","30,848.0","72,925.0","103,773.0","227,223.0","3,461.7","7,147.8","8,756.9",,"157,346.7","40,571.8","3,767.7",7/    ,"3,275.1","7,996.8","17,618.4","46,553.3",442.4,"142,981.5","4,626.6","27,350.1","134,064.5","3,125.6","11,972.5","5,628.1","102,070.3","5,254.3","2,463.5","209,549.1","946,024.5","1,173,247.5","204,564.2","-4,470.8","973,154.1",3.4
2003,290.820,"77,372.0","26,918.0","46,032.5","72,950.5","150,322.5","4,379.2","7,206.0","6,238.7",,"155,140.7","45,597.4","3,440.4",7/    ,"3,440.0","7,564.4","19,269.4","62,151.1",434.8,"150,003.7","4,028.0","27,395.4","140,796.3","2,910.1","11,069.4","6,326.4","82,338.3","5,401.1","3,328.0","227,134.5","975,593.3","1,125,915.8","197,832.9","-3,549.7","931,632.6",3.2
